dataset,clip_id,frame_id,selected_state,selected_label,observed_candidate_minus_baseline_mm
original_development,Ablehnen,149,1,m1_alpha_1p0,-2.1296377182006836
original_development,Ablehnen,151,1,m1_alpha_1p0,-1.9729623794555664
original_development,Ablehnen,153,1,m1_alpha_1p0,-1.7829551696777344
original_development,Ablehnen,155,1,m1_alpha_1p0,-2.7342042922973633
original_development,Ablehnen,157,1,m1_alpha_1p0,-3.2673730850219727
original_development,Ablehnen,159,1,m1_alpha_1p0,-3.570219039916992
original_development,Ablehnen,161,1,m1_alpha_1p0,-4.30024528503418
original_development,Ablehnen,163,1,m1_alpha_1p0,-4.302412986755371
original_development,Ablehnen,165,1,m1_alpha_1p0,-2.315108299255371
original_development,Ablehnen,167,1,m1_alpha_1p0,-3.9217309951782227
original_development,Ablehnen,169,1,m1_alpha_1p0,-3.9809179306030273
original_development,Ablehnen,171,1,m1_alpha_1p0,-3.2759504318237305
original_development,Ablehnen,173,1,m1_alpha_1p0,-3.1922483444213867
original_development,Ablehnen,175,1,m1_alpha_1p0,-4.046442985534668
original_development,Akzeptieren,124,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,126,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,128,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,130,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,132,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,134,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,136,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,138,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,140,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,142,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,144,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,146,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,148,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,150,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,152,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,154,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,156,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,158,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,160,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,162,0,legacy_a1_ensemble_hamer_fallback,0.0
original_development,Akzeptieren,164,0,legacy_a1_ensemble_hamer_fallback,0.0
